time,returns,Number_of_Submissions,Due Diligence,Fluff,Diamond Hands,News,Discussion,Hedge Fund Tears,Memes,Provocative,YOLO,Charity,Question,Mod Announcement,Art and Media,meaningless,Knowledge,Social Media,open,high,low,close,volume,Time,Month,Quarter
2021-02-16 10:00:00,0.005671077504725952,24,0.16666666666666666,0.08333333333333333,0.4583333333333333,0.041666666666666664,0.16666666666666666,0.041666666666666664,0.041666666666666664,,,,,,,,,,53.02,53.6,52.92,53.2,10059,2021-02-16 10:00:00,2,1
2021-02-16 11:00:00,0.0001879699248119593,18,0.29411764705882354,0.05882352941176471,0.2352941176470588,0.05882352941176471,0.29411764705882354,,0.05882352941176471,,,,,,,,,,53.11,54.01,53.11,53.21,8664,2021-02-16 11:00:00,2,1
2021-02-16 12:00:00,-0.0037586919751927406,20,0.3157894736842105,,0.10526315789473684,0.05263157894736842,0.4736842105263158,0.05263157894736842,,,,,,,,,,,53.21,54.2,53.0,53.01,11754,2021-02-16 12:00:00,2,1
2021-02-16 13:00:00,0.004338803999245577,26,0.16,0.16,0.44,,0.12,0.04,0.08,,,,,,,,,,53.06,53.6,52.4,53.24,56140,2021-02-16 13:00:00,2,1
2021-02-16 14:00:00,-0.01577761081893314,20,,0.05,0.5,0.1,0.15,,0.2,,,,,,,,,,52.6784,53.45,52.0,52.4,94780,2021-02-16 14:00:00,2,1
2021-02-16 21:00:00,0.0050761421319796,24,0.08695652173913042,,0.39130434782608703,0.08695652173913042,0.17391304347826084,0.08695652173913042,0.043478260869565216,0.13043478260869565,,,,,,,,,49.34,49.8407,49.1709,49.5,772961,2021-02-16 21:00:00,2,1
2021-02-16 22:00:00,-0.0046464646464645645,47,0.06521739130434782,0.08695652173913042,0.10869565217391304,0.2391304347826087,0.21739130434782608,0.06521739130434782,0.06521739130434782,0.15217391304347827,,,,,,,,,49.51,50.0,49.15,49.27,88330,2021-02-16 22:00:00,2,1
2021-02-16 23:00:00,-0.0032474122183885346,30,0.03333333333333333,0.1,0.26666666666666666,0.13333333333333333,0.26666666666666666,0.03333333333333333,0.13333333333333333,0.03333333333333333,,,,,,,,,49.35,49.35,49.1,49.11,32842,2021-02-16 23:00:00,2,1
2021-02-17 10:00:00,-0.002430625886165605,11,,,0.18181818181818185,0.09090909090909093,0.4545454545454545,,0.09090909090909093,0.18181818181818185,,,,,,,,,50.0,50.1,49.15,49.25,6599,2021-02-17 10:00:00,2,1
2021-02-17 18:00:00,-0.008797485947575791,28,0.03571428571428571,0.07142857142857142,0.14285714285714285,0.17857142857142858,0.17857142857142858,0.10714285714285714,0.14285714285714285,0.14285714285714285,,,,,,,,,47.14,47.15,46.28,46.7125,484701,2021-02-17 18:00:00,2,1
2021-02-17 19:00:00,-0.013538132191597496,68,0.07352941176470587,0.014705882352941175,0.2647058823529412,0.10294117647058824,0.2647058823529412,0.04411764705882353,0.14705882352941174,0.08823529411764706,,,,,,,,,46.71,46.97,46.02,46.0801,719597,2021-02-17 19:00:00,2,1
2021-02-17 20:00:00,-0.012261258113589244,110,0.06363636363636363,0.054545454545454536,0.3090909090909091,0.09090909090909093,0.2272727272727273,0.09090909090909093,0.09090909090909093,0.07272727272727272,,,,,,,,,46.0901,46.34,44.56,45.5151,2007284,2021-02-17 20:00:00,2,1
2021-02-17 21:00:00,0.007248144022533155,111,0.009345794392523364,0.037383177570093455,0.29906542056074764,0.2523364485981308,0.18691588785046728,0.04672897196261682,0.06542056074766353,0.102803738317757,,,,,,,,,45.3621,46.49,45.05,45.845,1665174,2021-02-17 21:00:00,2,1
2021-02-17 22:00:00,-0.0014156396553605126,84,0.047619047619047616,0.09523809523809523,0.25,0.17857142857142858,0.2380952380952381,0.07142857142857142,0.03571428571428571,0.08333333333333333,,,,,,,,,45.58,46.1,45.58,45.7801,51272,2021-02-17 22:00:00,2,1
2021-02-17 23:00:00,0.010919591700323972,66,0.0625,0.046875,0.234375,0.265625,0.234375,0.0625,0.03125,0.0625,,,,,,,,,45.9,46.45,45.76,46.28,31788,2021-02-17 23:00:00,2,1
2021-02-18 00:00:00,-0.0038893690579083757,47,0.10638297872340426,0.06382978723404255,0.1702127659574468,0.1702127659574468,0.3404255319148936,0.0425531914893617,0.06382978723404255,0.0425531914893617,,,,,,,,,46.13,46.4,46.08,46.1,16018,2021-02-18 00:00:00,2,1
2021-02-18 01:00:00,0.00759219088937102,61,0.06557377049180327,0.032786885245901634,0.3114754098360656,0.11475409836065575,0.2786885245901639,0.016393442622950817,0.08196721311475409,0.09836065573770493,,,,,,,,,46.0801,46.45,46.0801,46.45,19383,2021-02-18 01:00:00,2,1
2021-02-18 10:00:00,0.0010764262648008671,33,0.0625,,0.21875,0.125,0.375,0.03125,0.0625,0.125,,,,,,,,,47.0,47.0,46.0,46.5,7808,2021-02-18 10:00:00,2,1
2021-02-18 11:00:00,-0.010752688172043001,45,0.04444444444444445,0.08888888888888889,0.26666666666666666,0.06666666666666668,0.3333333333333333,0.04444444444444445,0.08888888888888889,0.06666666666666668,,,,,,,,,46.27,46.27,46.0,46.0,1645,2021-02-18 11:00:00,2,1
2021-02-18 12:00:00,0.01521739130434785,31,0.03225806451612903,0.03225806451612903,0.3548387096774194,0.12903225806451613,0.12903225806451613,0.06451612903225806,0.12903225806451613,0.12903225806451613,,,,,,,,,46.0,46.8,45.91,46.7,7210,2021-02-18 12:00:00,2,1
2021-02-18 13:00:00,-0.014989293361884481,56,0.038461538461538464,0.07692307692307693,0.2307692307692308,0.1346153846153846,0.4230769230769231,0.019230769230769232,0.038461538461538464,0.038461538461538464,,,,,,,,,46.51,47.04,45.8,46.0,31954,2021-02-18 13:00:00,2,1
